number of outliers: 282
id,time,values
1,11:33:33,707.6
1,11:33:43,132.2
1,11:33:53,384.4
1,11:34:23,609
1,11:34:43,873.8
1,11:34:53,2262.6
1,11:35:3,2554.6
1,11:35:13,1916.4
1,11:35:23,2520.6
1,11:35:33,795.6
1,11:35:43,852.8
1,11:36:23,2493.8
1,11:36:33,2983
1,11:36:43,631
1,11:36:53,1911.2
1,11:37:3,2282.4
1,11:37:13,2585.2
1,11:37:23,872.2
1,11:37:33,2153
1,11:38:3,2055
1,11:38:13,512.6
1,11:38:23,133.4
1,11:38:53,2459.6
1,11:39:3,87.8
1,11:39:13,839
1,11:39:23,2836
1,11:39:33,2680.4
1,11:39:43,2620.2
1,11:39:53,239.8
1,11:40:3,2197.6
1,11:40:23,662
1,11:40:43,2080.8
1,11:41:33,651.4
1,11:41:43,121.8
1,11:41:53,586.4
1,11:42:3,581.6
1,11:42:23,423.4
1,11:42:33,397.2
1,11:42:43,2040
1,11:42:53,1821.2
1,11:43:3,2880
1,11:43:13,268.8
1,11:43:23,26
1,11:43:33,600
1,11:44:3,2801.6
1,11:44:13,2295.2
1,11:44:23,296
1,11:44:33,362.8
1,11:44:43,2936
1,11:44:53,480.2
1,11:45:23,1739.4
1,11:45:33,119.4
1,11:45:43,200.4
1,11:45:53,43.8
1,11:46:3,408.6
1,11:46:13,1796.6
1,11:46:23,2280.8
1,11:46:33,1734.8
1,11:47:13,182.8
1,11:47:23,229.8
1,11:47:33,2424.6
1,11:47:43,2684.4
1,11:48:13,164.8
1,11:48:23,70.4
1,11:48:33,731.4
1,11:48:43,2271
1,11:49:13,2538
1,11:49:23,2809.8
1,11:49:33,806.8
1,11:49:43,1958.6
1,11:49:53,1650
1,11:50:3,134.4
1,11:50:13,2818.4
1,11:50:23,640.2
1,11:50:33,2868.4
1,11:50:43,862.2
1,11:50:53,1967.6
1,11:51:3,2411
1,11:51:13,2163.8
1,11:51:23,2169.6
1,11:51:33,2309
1,11:51:43,2720.8
1,11:51:53,1923.4
1,11:52:3,2066.4
1,11:52:13,345.2
1,11:52:23,1889
1,11:52:33,329.2
1,11:52:43,2775.6
1,11:52:53,2285.4
1,11:53:3,2696
1,11:53:23,1831.6
1,11:53:33,2651
1,11:53:53,482
1,11:54:13,2016
1,11:54:23,2967.6
1,11:54:43,629.2
1,11:55:3,2928.2
1,11:55:13,227.2
1,11:55:23,2936.8
1,11:55:33,584.4
1,11:55:43,802.8
1,11:55:53,2162.6
1,11:56:3,1942
1,11:56:13,1932
1,11:56:23,2740.2
1,11:56:33,633.2
1,11:56:43,2104.8
1,11:57:13,695.2
1,11:57:23,2814.4
1,11:57:43,1733.6
1,11:57:53,628.6
1,11:58:3,708.6
1,11:58:13,106
1,11:58:43,2760.8
1,11:58:53,2940.4
1,11:59:3,2428.4
1,11:59:13,1958.6
1,11:59:23,346.4
1,11:59:33,1765.2
1,11:59:53,2293.2
1,12:0:3,294.8
1,12:0:13,604.2
1,12:0:23,709
1,12:0:33,559.8
1,12:0:53,2906.6
1,12:1:3,2198.4
1,12:1:13,270.2
1,12:1:23,1814
1,12:1:33,1823.8
1,12:1:43,2285.8
1,12:2:3,2012.2
1,12:2:13,2848.2
1,12:2:23,2990.4
1,12:2:33,320.6
1,12:2:43,196.4
1,12:2:53,2172.4
1,12:3:3,2548.6
1,12:3:13,2516.4
1,12:3:23,361.6
1,12:3:53,1719
1,12:4:3,235
1,12:4:23,1898.8
1,12:4:33,432.2
1,12:4:43,559
1,12:4:53,83
1,12:5:3,2373.2
1,12:5:23,2747.4
1,12:5:33,2470.8
1,12:5:43,117
1,12:6:3,2180.8
1,12:6:13,829.4
1,12:6:23,2223.6
1,12:6:33,2531.8
1,12:6:53,1754.8
1,12:7:13,2191.6
1,12:7:43,511
1,12:7:53,1625.4
1,12:8:3,713.6
1,12:8:23,1868.2
1,12:8:33,2706
1,12:8:43,2017.8
1,12:9:13,2451
